Metric,Value
macTxDrop,0
macRxDrop,8056820
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1844225
dropTxing,100135
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,840827
dropPreambleDetectFailure,5235653
dropReceptionAbortedByTx,8
dropLSigFailure,1037
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,33867
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1068
