OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.0.3,10.1.0.12,0,1,10.1.0.3,10.1.0.12,7,5.001,300.155,1
10.1.0.4,10.1.1.24,0,1,10.1.0.4,10.1.1.24,8,5.002,300.279,1
10.1.0.1,10.1.0.134,0,1,10.1.0.1,10.1.0.134,3,5.009,288.124,1
10.1.0.1,10.1.0.134,0,2,10.1.0.1,10.1.0.134,0,5.241,-1,0
10.1.0.3,10.1.0.12,0,2,10.1.0.3,10.1.0.12,0,5.241,-1,0
10.1.0.4,10.1.1.24,0,2,10.1.0.4,10.1.1.24,0,5.247,-1,0
10.1.0.1,10.1.0.134,0,3,10.1.0.1,10.1.0.134,0,5.64,-1,0
10.1.0.4,10.1.1.24,0,3,10.1.0.4,10.1.1.24,0,5.64,-1,0
10.1.0.3,10.1.0.12,0,3,10.1.0.3,10.1.0.12,0,5.645,-1,0
10.1.0.59,10.1.0.232,0,1,10.1.0.59,10.1.0.232,1,5.73311,8.79102,1
10.1.0.123,10.1.0.252,0,1,10.1.0.123,10.1.0.252,2,5.7694,8.84309,1
10.1.0.123,10.1.0.56,0,2,10.1.0.123,10.1.0.56,1,5.78264,6.99925,1
10.1.0.1,10.1.0.134,0,4,10.1.0.1,10.1.0.134,0,5.906,-1,0
10.1.0.190,10.1.0.232,0,1,10.1.0.190,10.1.0.232,5,6.00085,104.252,1
10.1.0.229,10.1.0.126,0,1,10.1.0.229,10.1.0.126,1,6.07089,6.18547,1
10.1.0.229,10.1.0.187,0,2,10.1.0.229,10.1.0.187,1,6.13641,6.71141,1
10.1.0.229,10.1.0.242,0,4,10.1.0.229,10.1.0.242,3,6.18847,316.439,1
10.1.0.229,10.1.1.5,0,3,10.1.0.229,10.1.1.5,0,6.19295,6.43338,1
10.1.0.3,10.1.0.12,0,4,10.1.0.3,10.1.0.12,0,6.2,-1,0
10.1.0.4,10.1.1.24,0,4,10.1.0.4,10.1.1.24,0,6.206,-1,0
10.1.0.5,10.1.0.167,0,1,10.1.0.5,10.1.0.167,4,6.206,282.077,1
10.1.0.253,10.1.0.37,0,1,10.1.0.253,10.1.0.37,0,6.28808,175.656,1
10.1.0.4,10.1.1.24,0,5,10.1.0.4,10.1.1.24,0,6.504,-1,0
10.1.0.190,10.1.0.126,0,2,10.1.0.190,10.1.0.126,3,6.71314,200.423,1
10.1.0.229,10.1.0.83,0,5,10.1.0.229,10.1.0.83,2,6.71757,10.2117,1
10.1.0.253,10.1.0.91,0,2,10.1.0.253,10.1.0.91,2,6.77866,12.0878,1
10.1.0.244,10.1.0.171,0,1,10.1.0.244,10.1.0.171,0,6.85432,245.615,1
10.1.0.163,10.1.0.56,0,1,10.1.0.163,10.1.0.56,2,6.91448,9.84613,1
10.1.0.3,10.1.0.12,0,5,10.1.0.3,10.1.0.12,0,6.925,-1,0
10.1.0.78,10.1.0.232,0,1,10.1.0.78,10.1.0.232,2,6.94509,178.755,1
10.1.0.6,10.1.1.29,0,1,10.1.0.6,10.1.1.29,4,7.01,294.59,1
10.1.1.22,10.1.0.106,0,1,10.1.1.22,10.1.0.106,1,7.0286,10.05,1
10.1.0.163,10.1.0.113,0,2,10.1.0.163,10.1.0.113,1,7.04851,8.8829,1
10.1.0.163,10.1.0.165,0,3,10.1.0.163,10.1.0.165,1,7.07017,7.18826,1
10.1.0.190,10.1.0.242,0,3,10.1.0.190,10.1.0.242,6,7.09987,132.759,1
10.1.0.105,10.1.1.6,0,1,10.1.0.105,10.1.1.6,0,7.14357,7.79012,1
10.1.0.2,10.1.0.89,0,1,10.1.0.2,10.1.0.89,3,7.14973,275.279,1
10.1.0.105,10.1.0.73,0,2,10.1.0.105,10.1.0.73,2,7.15234,7.35813,1
10.1.0.105,10.1.0.205,0,3,10.1.0.105,10.1.0.205,1,7.15358,10.853,1
