Metric,Value
macTxDrop,0
macRxDrop,3297075
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,430087
dropTxing,150507
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,65005
dropPreambleDetectFailure,2630162
dropReceptionAbortedByTx,4
dropLSigFailure,603
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,20304
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,403
