Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,80609,13412,0,0
1,2950,0,65843,13322,0,0
2,2950,0,70129,13424,0,0
3,2950,0,63228,12478,0,0
4,2950,0,85646,13444,0,0
5,2950,0,74761,12893,0,0
6,0,0,82639,10464,0,0
7,0,0,67897,10646,0,0
8,0,0,135735,10598,0,0
9,0,0,81662,10317,0,0
10,0,0,83446,10733,0,0
11,0,0,61459,10350,0,0
12,0,0,82697,10574,0,0
13,0,0,63421,10122,0,0
14,0,0,60207,10305,0,0
15,0,0,71060,9947,0,0
16,0,0,84691,10345,0,0
17,0,203,71526,10109,0,0
18,0,0,60558,10626,0,0
19,0,0,59611,9689,0,0
20,0,0,79208,10530,0,0
21,0,0,77919,10401,0,0
22,0,0,78837,10703,0,0
23,0,0,61867,9733,0,0
24,0,0,98251,10639,0,0
25,0,0,85515,10422,0,0
26,0,0,78170,10439,0,0
27,0,1,122250,10669,0,0
28,0,0,93277,10666,0,0
29,0,0,85711,10523,0,0
30,0,0,82187,10583,0,0
31,0,0,146218,10506,0,0
32,0,0,125494,10562,0,0
33,0,0,82331,10484,0,0
34,0,0,93062,10691,0,0
35,0,0,148807,10397,0,0
36,0,0,129610,10554,0,0
37,0,0,31617,8999,0,0
38,0,0,37506,8879,0,0
39,0,0,71387,10759,0,0
40,0,0,82614,10615,0,0
41,0,0,138094,10289,0,0
42,0,0,135477,10695,0,0
43,0,0,89256,10556,0,0
44,0,0,80842,10465,0,0
45,0,0,79290,10461,0,0
46,0,0,138376,10249,0,0
47,0,0,138645,10070,0,0
48,0,0,118745,10828,0,0
49,0,0,107765,10748,0,0
50,0,0,126208,10196,0,0
51,0,0,135041,10415,0,0
52,0,0,119108,10227,0,0
53,0,0,81928,10513,0,0
54,0,0,129675,10729,0,0
55,0,0,154519,10295,0,0
56,0,0,82465,10708,0,0
57,0,0,54193,10401,0,0
58,0,0,148356,10380,0,0
59,0,0,76016,10903,0,0
