5.19352,-8.5456,5
90.7059,-3.69042,5
190.247,2.20696,5
297.629,9.71474,5
395.259,8.80485,5
-109.927,-1.2095,5
-205.286,8.48848,5
-292.017,-6.02275,5
-393.046,-7.18604,5
3.52542,-209.358,5
92.5662,-206.689,5
191.663,-194.478,5
299.127,-209.962,5
394.686,-191.529,5
490.917,-204.184,5
-109.864,-198.357,5
-202.391,-209.71,5
-308.77,-195.194,5
-304.37,-191.006,5
-408.117,-205.84,5
-503.891,-209.212,5
8.72893,204.879,5
108.907,204.546,5
208.995,204.369,5
309.994,200.353,5
409.894,201.455,5
498.946,190.056,5
-91.2374,195.182,5
-190.005,199.69,5
-303.82,209.241,5
-297.481,209.677,5
-407.972,206.038,5
-502.994,209.541,5
9.67796,-397.483,5
90.1445,-401.694,5
208.784,-395.22,5
295.069,-391.3,5
398.289,-390.148,5
500.21,-390.002,5
-101.674,-390.141,5
-208.848,-395.341,5
-308.677,-395.028,5
-307.661,-393.573,5
-409.716,-397.633,5
-504.198,-390.924,5
7.11371,392.972,5
100.949,390.045,5
201.868,390.176,5
309.797,397.996,5
409.794,397.979,5
492.469,406.579,5
-109.573,402.89,5
-202.281,409.736,5
-300.389,409.992,5
-291.984,394.021,5
-405.151,391.429,5
-492.621,393.251,5
-3.21788,-109.468,5
205.034,-91.3595,5
401.1,-109.939,5
491.891,-105.851,5
-209.595,-102.818,5
-409.064,-104.224,5
-502.716,-109.624,5
7.75343,106.315,5
201.532,90.118,5
407.35,93.2196,5
507.628,93.5335,5
-197.995,109.797,5
-391.393,94.9084,5
-500.959,90.0461,5
-9.52327,303.051,5
201.976,290.197,5
390.011,300.465,5
-192.127,293.834,5
-405.868,291.902,5
9.95035,-300.995,5
208.56,-305.169,5
408.409,-305.412,5
-209.554,-297.047,5
-390.052,-301.019,5
109.976,-500.69,5
192.168,-506.217,5
395.821,-509.085,5
496.507,-509.37,5
-103.153,-490.51,5
-192.476,-506.587,5
-407.755,-493.687,5
-497.798,-490.245,5
107.89,493.856,5
204.385,491.013,5
406.337,492.264,5
490.008,500.394,5
-106.856,507.279,5
-200.461,490.011,5
-409.757,497.807,5
-505.025,491.354,5
95.869,-590.893,5
190.017,-600.579,5
-108.398,-605.429,5
-209.76,-597.821,5
-6.58297,607.528,5
108.2,594.277,5
-93.4984,592.402,5

7.79028,-12.8184,5
86.0588,-5.53563,5
185.37,3.31043,5
296.443,14.5721,5
392.889,13.2073,5
-114.89,-1.81426,5
-207.93,12.7327,5
-288.026,-9.03413,5
-389.569,-10.7791,5
5.28813,-214.037,5
88.8492,-210.033,5
187.495,-191.716,5
298.69,-214.943,5
