Metric,Value
macTxDrop,0
macRxDrop,475070
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2654
dropTxing,3890
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,4175
dropPreambleDetectFailure,461160
dropReceptionAbortedByTx,0
dropLSigFailure,1
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,3181
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,9
