Metric,Value
macTxDrop,0
macRxDrop,6084227
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,220792
dropTxing,66577
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,54607
dropPreambleDetectFailure,5708810
dropReceptionAbortedByTx,5
dropLSigFailure,22
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,33205
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,209
