Metric,Value
macTxDrop,0
macRxDrop,5037089
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1469912
dropTxing,158956
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,501782
dropPreambleDetectFailure,2892597
dropReceptionAbortedByTx,1
dropLSigFailure,3182
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,9870
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,789
