Metric,Value
macTxDrop,0
macRxDrop,21080084
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,3565485
dropTxing,531877
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,1205322
dropPreambleDetectFailure,15743147
dropReceptionAbortedByTx,1
dropLSigFailure,503
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,31123
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,2626
