Metric,Value
macTxDrop,0
macRxDrop,12580254
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2061847
dropTxing,293947
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,1025067
dropPreambleDetectFailure,9179590
dropReceptionAbortedByTx,0
dropLSigFailure,143
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,17980
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1680
