Metric,Value
macTxDrop,0
macRxDrop,695995
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,42390
dropTxing,12333
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,11254
dropPreambleDetectFailure,625432
dropReceptionAbortedByTx,2
dropLSigFailure,153
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,4407
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,24
