OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.1.198,10.1.1.52,0,25,10.1.1.198,10.1.1.52,4,141.842,234.814,1
10.1.1.109,10.1.0.69,0,17,10.1.1.109,10.1.0.69,0,141.847,-1,0
10.1.0.121,10.1.0.8,0,11,10.1.0.121,10.1.0.8,1,141.852,142.155,1
10.1.1.205,10.1.0.241,0,15,10.1.1.205,10.1.0.241,1,141.862,149.29,1
10.1.0.62,10.1.0.67,0,19,10.1.0.62,10.1.0.67,0,141.871,-1,0
10.1.1.178,10.1.0.1,0,7,10.1.1.178,10.1.0.1,6,141.878,142.627,1
10.1.1.15,10.1.1.3,0,17,10.1.1.15,10.1.1.3,0,141.881,-1,0
10.1.0.243,10.1.0.127,0,18,10.1.0.243,10.1.0.127,0,141.881,-1,0
10.1.1.88,10.1.0.53,22,23,10.1.1.88,10.1.0.53,6,141.914,143.111,1
10.1.0.209,10.1.0.122,0,23,10.1.0.209,10.1.0.122,1,141.923,141.986,1
10.1.1.109,10.1.1.102,0,18,10.1.1.109,10.1.1.102,1,141.923,260.549,1
10.1.1.32,10.1.0.1,0,21,10.1.1.32,10.1.0.1,4,141.943,142.43,1
10.1.1.207,10.1.0.6,0,10,10.1.1.207,10.1.0.6,6,141.946,143.8,1
10.1.0.53,10.1.0.27,0,23,10.1.0.53,10.1.0.27,1,141.963,142.27,1
10.1.1.32,10.1.0.173,0,22,10.1.1.32,10.1.0.173,1,141.979,142.331,1
10.1.0.121,10.1.0.8,6,12,10.1.0.121,10.1.0.8,0,141.985,-1,0
10.1.1.227,10.1.1.177,0,14,10.1.1.227,10.1.1.177,0,141.989,-1,0
10.1.0.219,10.1.1.6,0,8,10.1.0.219,10.1.1.6,0,142.003,-1,0
10.1.1.236,10.1.0.233,0,8,10.1.1.236,10.1.0.233,0,142.004,-1,0
10.1.0.77,10.1.0.168,20,15,10.1.0.77,10.1.0.168,0,142.008,-1,0
10.1.0.243,10.1.0.107,0,19,10.1.0.243,10.1.0.107,0,142.051,-1,0
10.1.1.54,10.1.1.224,0,12,10.1.1.54,10.1.1.224,0,142.052,-1,0
10.1.1.134,10.1.0.3,0,23,10.1.1.134,10.1.0.3,0,142.065,-1,0
10.1.0.88,10.1.1.139,0,18,10.1.0.88,10.1.1.139,4,142.093,144.667,1
10.1.0.111,10.1.1.229,0,25,10.1.0.111,10.1.1.229,2,142.107,308.168,1
10.1.0.24,10.1.1.72,0,22,10.1.0.24,10.1.1.72,0,142.129,-1,0
10.1.1.188,10.1.1.229,11,15,10.1.1.188,10.1.1.229,0,142.174,-1,0
10.1.0.184,10.1.0.26,0,19,10.1.0.184,10.1.0.26,0,142.201,-1,0
10.1.0.1,10.1.1.22,10,142,10.1.0.1,10.1.1.22,0,142.202,-1,0
10.1.1.233,10.1.1.221,0,17,10.1.1.233,10.1.1.221,0,142.209,-1,0
10.1.0.139,10.1.0.232,0,16,10.1.0.139,10.1.0.232,0,142.223,-1,0
10.1.0.119,10.1.0.67,0,16,10.1.0.119,10.1.0.67,0,142.236,-1,0
10.1.1.198,10.1.1.52,0,26,10.1.1.198,10.1.1.52,0,142.243,-1,0
10.1.0.172,10.1.0.227,0,14,10.1.0.172,10.1.0.227,0,142.25,-1,0
10.1.0.125,10.1.1.240,0,16,10.1.0.125,10.1.1.240,0,142.295,-1,0
10.1.1.27,10.1.1.63,0,12,10.1.1.27,10.1.1.63,4,142.3,145.125,1
10.1.1.157,10.1.0.78,0,16,10.1.1.157,10.1.0.78,8,142.309,185.735,1
10.1.1.109,10.1.1.102,0,19,10.1.1.109,10.1.1.102,0,142.322,-1,0
10.1.0.126,10.1.1.205,0,14,10.1.0.126,10.1.1.205,0,142.397,-1,0
10.1.1.153,10.1.1.211,0,9,10.1.1.153,10.1.1.211,0,142.417,-1,0
10.1.0.62,10.1.0.195,0,20,10.1.0.62,10.1.0.195,0,142.422,-1,0
10.1.0.243,10.1.0.127,0,20,10.1.0.243,10.1.0.127,0,142.447,-1,0
10.1.0.90,10.1.0.65,0,19,10.1.0.90,10.1.0.65,0,142.453,-1,0
10.1.1.185,10.1.1.52,0,13,10.1.1.185,10.1.1.52,6,142.457,275.946,1
10.1.0.86,10.1.1.3,0,16,10.1.0.86,10.1.1.3,0,142.478,-1,0
10.1.0.24,10.1.1.72,0,23,10.1.0.24,10.1.1.72,0,142.523,-1,0
10.1.1.58,10.1.1.22,0,16,10.1.1.58,10.1.1.22,5,142.546,144.07,1
10.1.1.89,10.1.1.77,14,22,10.1.1.89,10.1.1.77,6,142.577,171.431,1
10.1.0.184,10.1.0.26,0,20,10.1.0.184,10.1.0.26,0,142.602,-1,0
10.1.0.76,10.1.1.161,0,17,10.1.0.76,10.1.1.161,0,142.61,-1,0
10.1.0.17,10.1.0.19,0,15,10.1.0.17,10.1.0.19,5,142.612,143.26,1
10.1.0.79,10.1.0.14,0,13,10.1.0.79,10.1.0.14,0,142.615,-1,0
10.1.1.49,10.1.0.107,0,31,10.1.1.49,10.1.0.107,1,142.617,143.07,1
10.1.0.139,10.1.0.232,0,17,10.1.0.139,10.1.0.232,0,142.626,-1,0
