Metric,Value
macTxDrop,0
macRxDrop,2684536
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,591268
dropTxing,44736
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,307840
dropPreambleDetectFailure,1729955
dropReceptionAbortedByTx,0
dropLSigFailure,192
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,10201
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,344
