Metric,Value
macTxDrop,0
macRxDrop,8197682
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1681985
dropTxing,161126
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,561458
dropPreambleDetectFailure,5772545
dropReceptionAbortedByTx,3
dropLSigFailure,732
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,18891
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,942
