Metric,Value
macTxDrop,0
macRxDrop,11357437
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,3113945
dropTxing,345059
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,829684
dropPreambleDetectFailure,7037279
dropReceptionAbortedByTx,9
dropLSigFailure,4487
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,25289
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1685
