Metric,Value
macTxDrop,0
macRxDrop,7710632
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1565978
dropTxing,114838
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,669958
dropPreambleDetectFailure,5333263
dropReceptionAbortedByTx,14
dropLSigFailure,1116
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,24133
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1332
