OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.1.72,10.1.1.146,0,1,10.1.1.72,10.1.1.146,3,7.60313,258.448,1
10.1.1.188,10.1.1.178,0,1,10.1.1.188,10.1.1.178,2,7.62426,132.744,1
10.1.1.188,10.1.1.50,0,2,10.1.1.188,10.1.1.50,1,7.65826,170.446,1
10.1.1.80,10.1.1.99,0,1,10.1.1.80,10.1.1.99,4,7.69643,164.999,1
10.1.1.82,10.1.1.143,0,1,10.1.1.82,10.1.1.143,1,7.79622,198.974,1
10.1.1.2,10.1.1.18,0,8,10.1.1.2,10.1.1.18,0,7.805,-1,0
10.1.1.3,10.1.1.103,0,6,10.1.1.3,10.1.1.103,2,7.82572,126.27,1
10.1.1.119,10.1.1.143,0,2,10.1.1.119,10.1.1.143,0,7.85332,-1,0
10.1.1.188,10.1.1.143,0,3,10.1.1.188,10.1.1.143,8,7.86803,10.4558,1
10.1.1.160,10.1.1.146,0,1,10.1.1.160,10.1.1.146,0,7.88733,72.5961,1
10.1.1.92,10.1.1.66,0,4,10.1.1.92,10.1.1.66,2,7.90827,123.02,1
10.1.1.1,10.1.1.112,0,7,10.1.1.1,10.1.1.112,0,7.921,-1,0
10.1.1.74,10.1.1.102,0,1,10.1.1.74,10.1.1.102,1,7.93588,9.28126,1
10.1.1.188,10.1.1.102,0,4,10.1.1.188,10.1.1.102,4,7.94175,231.476,1
10.1.1.187,10.1.1.200,0,1,10.1.1.187,10.1.1.200,0,7.96439,170.097,1
10.1.1.83,10.1.1.1,0,2,10.1.1.83,10.1.1.1,6,7.98121,20.9378,1
10.1.1.33,10.1.1.78,0,1,10.1.1.33,10.1.1.78,4,7.99271,169.714,1
10.1.1.92,10.1.1.136,0,5,10.1.1.92,10.1.1.136,5,8.04589,84.1049,1
10.1.1.1,10.1.1.141,0,8,10.1.1.1,10.1.1.141,4,8.06242,119.829,1
10.1.1.1,10.1.1.112,0,9,10.1.1.1,10.1.1.112,0,8.104,-1,0
10.1.1.92,10.1.1.118,0,6,10.1.1.92,10.1.1.118,3,8.11415,11.4522,1
10.1.1.19,10.1.1.103,0,2,10.1.1.19,10.1.1.103,2,8.11837,12.7751,1
10.1.1.118,10.1.1.143,0,1,10.1.1.118,10.1.1.143,2,8.22497,162.463,1
10.1.1.13,10.1.1.140,0,1,10.1.1.13,10.1.1.140,1,8.24476,209.449,1
10.1.1.183,10.1.1.58,0,1,10.1.1.183,10.1.1.58,5,8.30153,96.558,1
10.1.1.1,10.1.1.112,0,10,10.1.1.1,10.1.1.112,0,8.302,-1,0
10.1.1.96,10.1.1.50,0,2,10.1.1.96,10.1.1.50,0,8.32355,109.28,1
10.1.1.184,10.1.1.50,0,2,10.1.1.184,10.1.1.50,5,8.32893,292.476,1
10.1.1.146,10.1.1.117,0,1,10.1.1.146,10.1.1.117,4,8.3362,315.247,1
10.1.1.128,10.1.1.179,0,1,10.1.1.128,10.1.1.179,0,8.33997,249.397,1
10.1.1.100,10.1.1.111,0,1,10.1.1.100,10.1.1.111,6,8.34497,171.636,1
10.1.1.179,10.1.1.111,0,1,10.1.1.179,10.1.1.111,0,8.34692,8.36996,1
10.1.1.40,10.1.1.116,0,1,10.1.1.40,10.1.1.116,6,8.36919,23.0057,1
10.1.1.52,10.1.1.50,0,4,10.1.1.52,10.1.1.50,3,8.39137,317.797,1
10.1.1.188,10.1.1.66,0,5,10.1.1.188,10.1.1.66,2,8.43571,83.7941,1
10.1.1.74,10.1.1.66,0,2,10.1.1.74,10.1.1.66,5,8.43857,174.213,1
10.1.1.84,10.1.1.129,0,3,10.1.1.84,10.1.1.129,5,8.44298,276.388,1
10.1.1.96,10.1.1.66,0,3,10.1.1.96,10.1.1.66,5,8.45311,68.2343,1
10.1.1.1,10.1.1.141,0,11,10.1.1.1,10.1.1.141,0,8.46142,-1,0
10.1.1.96,10.1.1.73,0,4,10.1.1.96,10.1.1.73,2,8.49983,309.16,1
10.1.1.92,10.1.1.90,0,7,10.1.1.92,10.1.1.90,0,8.5265,8.56256,1
10.1.1.51,10.1.1.73,0,5,10.1.1.51,10.1.1.73,2,8.56734,9.26623,1
10.1.1.52,10.1.1.73,0,5,10.1.1.52,10.1.1.73,2,8.57219,286.764,1
10.1.1.82,10.1.1.66,0,2,10.1.1.82,10.1.1.66,0,8.65109,156.589,1
10.1.1.20,10.1.1.21,0,1,10.1.1.20,10.1.1.21,4,8.67878,13.6143,1
10.1.1.183,10.1.1.58,0,2,10.1.1.183,10.1.1.58,0,8.70253,-1,0
10.1.1.74,10.1.1.50,0,3,10.1.1.74,10.1.1.50,4,8.81055,182.357,1
10.1.1.92,10.1.1.73,0,8,10.1.1.92,10.1.1.73,1,8.82893,8.93174,1
10.1.1.92,10.1.1.162,0,9,10.1.1.92,10.1.1.162,1,8.86405,154.372,1
10.1.1.141,10.1.1.107,0,1,10.1.1.141,10.1.1.107,2,9.01245,9.03969,1
10.1.1.51,10.1.1.90,0,6,10.1.1.51,10.1.1.90,0,9.04383,80.0105,1
10.1.1.1,10.1.1.112,0,12,10.1.1.1,10.1.1.112,0,9.103,-1,0
10.1.1.35,10.1.1.49,0,1,10.1.1.35,10.1.1.49,5,9.12657,275.485,1
10.1.1.101,10.1.1.49,0,1,10.1.1.101,10.1.1.49,5,9.13557,254.488,1
10.1.1.153,10.1.1.185,0,1,10.1.1.153,10.1.1.185,5,9.13763,68.4427,1
10.1.1.185,10.1.1.174,0,1,10.1.1.185,10.1.1.174,3,9.14275,281.732,1
10.1.1.185,10.1.1.53,0,2,10.1.1.185,10.1.1.53,1,9.19315,10.1819,1
10.1.1.185,10.1.1.137,0,4,10.1.1.185,10.1.1.137,6,9.19857,184.912,1
10.1.1.185,10.1.1.37,0,3,10.1.1.185,10.1.1.37,1,9.20228,9.39485,1
10.1.1.185,10.1.1.36,0,5,10.1.1.185,10.1.1.36,0,9.20584,224.868,1
10.1.1.183,10.1.1.58,0,3,10.1.1.183,10.1.1.58,0,9.26553,-1,0
10.1.1.96,10.1.1.110,0,5,10.1.1.96,10.1.1.110,0,9.29983,226.967,1
