Metric,Value
macTxDrop,0
macRxDrop,9933240
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1053963
dropTxing,156663
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,213717
dropPreambleDetectFailure,8427263
dropReceptionAbortedByTx,3
dropLSigFailure,423
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,80708
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,500
