Metric,Value
macTxDrop,0
macRxDrop,3049495
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,281156
dropTxing,67232
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,64373
dropPreambleDetectFailure,2616276
dropReceptionAbortedByTx,4
dropLSigFailure,465
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,19851
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,138
