OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.1.4,10.1.1.43,0,1,10.1.1.4,10.1.1.43,0,5.001,274.61,1
10.1.1.5,10.1.1.18,0,1,10.1.1.5,10.1.1.18,2,5.005,292.858,1
10.1.1.2,10.1.1.8,0,1,10.1.1.2,10.1.1.8,5,5.006,293.326,1
10.1.1.6,10.1.1.10,0,1,10.1.1.6,10.1.1.10,8,5.007,266.531,1
10.1.1.3,10.1.1.37,0,1,10.1.1.3,10.1.1.37,15,5.009,206.191,1
10.1.1.1,10.1.1.30,0,1,10.1.1.1,10.1.1.30,9,5.01,271.654,1
10.1.1.1,10.1.1.30,0,2,10.1.1.1,10.1.1.30,0,5.241,-1,0
10.1.1.2,10.1.1.8,0,2,10.1.1.2,10.1.1.8,0,5.244,-1,0
10.1.1.3,10.1.1.37,0,2,10.1.1.3,10.1.1.37,0,5.248,-1,0
10.1.1.6,10.1.1.10,0,2,10.1.1.6,10.1.1.10,0,5.248,-1,0
10.1.1.5,10.1.1.18,0,2,10.1.1.5,10.1.1.18,0,5.249,-1,0
10.1.1.2,10.1.1.8,0,3,10.1.1.2,10.1.1.8,0,5.642,-1,0
10.1.1.6,10.1.1.10,0,3,10.1.1.6,10.1.1.10,0,5.642,-1,0
10.1.1.3,10.1.1.37,0,3,10.1.1.3,10.1.1.37,0,5.643,-1,0
10.1.1.1,10.1.1.30,0,3,10.1.1.1,10.1.1.30,0,5.647,-1,0
10.1.1.5,10.1.1.18,0,3,10.1.1.5,10.1.1.18,0,5.648,-1,0
10.1.1.6,10.1.1.10,0,4,10.1.1.6,10.1.1.10,0,6.202,-1,0
10.1.1.1,10.1.1.30,0,4,10.1.1.1,10.1.1.30,0,6.203,-1,0
10.1.1.3,10.1.1.37,0,4,10.1.1.3,10.1.1.37,0,6.205,-1,0
10.1.1.2,10.1.1.8,0,4,10.1.1.2,10.1.1.8,0,6.208,-1,0
10.1.1.5,10.1.1.18,0,4,10.1.1.5,10.1.1.18,0,6.21,-1,0
10.1.1.3,10.1.1.37,0,5,10.1.1.3,10.1.1.37,0,6.922,-1,0
10.1.1.5,10.1.1.18,0,5,10.1.1.5,10.1.1.18,0,6.922,-1,0
10.1.1.2,10.1.1.8,0,5,10.1.1.2,10.1.1.8,0,6.925,-1,0
10.1.1.1,10.1.1.30,0,5,10.1.1.1,10.1.1.30,0,6.927,-1,0
10.1.1.6,10.1.1.10,0,5,10.1.1.6,10.1.1.10,0,6.93,-1,0
10.1.1.4,10.1.1.43,0,2,10.1.1.4,10.1.1.43,0,9.01,-1,0
10.1.1.4,10.1.1.35,0,3,10.1.1.4,10.1.1.35,1,9.01835,87.601,1
10.1.1.49,10.1.1.50,0,1,10.1.1.49,10.1.1.50,0,9.04059,79.235,1
10.1.1.1,10.1.1.30,0,6,10.1.1.1,10.1.1.30,0,9.723,-1,0
10.1.1.2,10.1.1.8,0,6,10.1.1.2,10.1.1.8,0,9.726,-1,0
10.1.1.5,10.1.1.18,0,6,10.1.1.5,10.1.1.18,0,9.726,-1,0
10.1.1.6,10.1.1.10,0,6,10.1.1.6,10.1.1.10,0,9.727,-1,0
10.1.1.3,10.1.1.37,0,6,10.1.1.3,10.1.1.37,0,9.729,-1,0
10.1.1.4,10.1.1.43,0,4,10.1.1.4,10.1.1.43,0,13.508,-1,0
10.1.1.12,10.1.1.25,0,1,10.1.1.12,10.1.1.25,1,13.5345,13.5589,1
10.1.1.6,10.1.1.10,0,7,10.1.1.6,10.1.1.10,0,15.401,-1,0
10.1.1.2,10.1.1.8,0,7,10.1.1.2,10.1.1.8,0,15.405,-1,0
10.1.1.3,10.1.1.37,0,7,10.1.1.3,10.1.1.37,0,15.405,-1,0
10.1.1.5,10.1.1.18,0,7,10.1.1.5,10.1.1.18,0,15.406,-1,0
10.1.1.1,10.1.1.30,0,7,10.1.1.1,10.1.1.30,0,15.407,-1,0
10.1.1.1,10.1.1.30,0,8,10.1.1.1,10.1.1.30,0,15.64,-1,0
10.1.1.2,10.1.1.8,0,8,10.1.1.2,10.1.1.8,0,15.641,-1,0
10.1.1.5,10.1.1.18,0,8,10.1.1.5,10.1.1.18,0,15.643,-1,0
10.1.1.3,10.1.1.37,0,8,10.1.1.3,10.1.1.37,0,15.646,-1,0
10.1.1.6,10.1.1.10,0,8,10.1.1.6,10.1.1.10,0,15.65,-1,0
10.1.1.6,10.1.1.10,0,9,10.1.1.6,10.1.1.10,0,16.04,-1,0
10.1.1.2,10.1.1.8,0,9,10.1.1.2,10.1.1.8,0,16.042,-1,0
10.1.1.1,10.1.1.30,0,9,10.1.1.1,10.1.1.30,0,16.044,-1,0
10.1.1.3,10.1.1.37,0,9,10.1.1.3,10.1.1.37,0,16.044,-1,0
10.1.1.5,10.1.1.18,0,9,10.1.1.5,10.1.1.18,0,16.05,-1,0
10.1.1.6,10.1.1.10,0,10,10.1.1.6,10.1.1.10,0,16.6,-1,0
10.1.1.5,10.1.1.18,0,10,10.1.1.5,10.1.1.18,0,16.603,-1,0
10.1.1.1,10.1.1.30,0,10,10.1.1.1,10.1.1.30,0,16.606,-1,0
10.1.1.2,10.1.1.8,0,10,10.1.1.2,10.1.1.8,0,16.607,-1,0
10.1.1.3,10.1.1.37,0,10,10.1.1.3,10.1.1.37,0,16.608,-1,0
10.1.1.3,10.1.1.37,0,11,10.1.1.3,10.1.1.37,0,17.32,-1,0
10.1.1.5,10.1.1.18,0,11,10.1.1.5,10.1.1.18,0,17.323,-1,0
10.1.1.2,10.1.1.8,0,11,10.1.1.2,10.1.1.8,0,17.328,-1,0
10.1.1.6,10.1.1.10,0,11,10.1.1.6,10.1.1.10,0,17.328,-1,0
10.1.1.1,10.1.1.30,0,11,10.1.1.1,10.1.1.30,0,17.329,-1,0
10.1.1.6,10.1.1.43,0,12,10.1.1.6,10.1.1.43,3,17.5344,48.9972,1
10.1.1.44,10.1.1.43,0,1,10.1.1.44,10.1.1.43,3,17.5355,18.972,1
10.1.1.6,10.1.1.49,1,13,10.1.1.6,10.1.1.49,1,17.549,17.5554,1
10.1.1.44,10.1.1.43,0,2,10.1.1.44,10.1.1.43,0,17.9365,-1,0
10.1.1.44,10.1.1.49,1,3,10.1.1.44,10.1.1.49,3,17.9509,18.0087,1
10.1.1.20,10.1.1.43,0,1,10.1.1.20,10.1.1.43,1,17.9757,48.9953,1
10.1.1.50,10.1.1.12,1,1,10.1.1.50,10.1.1.12,1,17.9785,74.1485,1
10.1.1.20,10.1.1.12,1,2,10.1.1.20,10.1.1.12,0,18.0053,18.0269,1
10.1.1.1,10.1.1.30,0,12,10.1.1.1,10.1.1.30,0,20.126,-1,0
10.1.1.3,10.1.1.37,0,12,10.1.1.3,10.1.1.37,0,20.127,-1,0
10.1.1.6,10.1.1.10,0,14,10.1.1.6,10.1.1.10,0,20.128,-1,0
10.1.1.50,10.1.1.12,1,2,10.1.1.50,10.1.1.12,0,22.1429,-1,0
10.1.1.5,10.1.1.18,0,12,10.1.1.5,10.1.1.18,0,23.605,-1,0
10.1.1.2,10.1.1.8,0,12,10.1.1.2,10.1.1.8,0,23.61,-1,0
10.1.1.5,10.1.1.18,0,13,10.1.1.5,10.1.1.18,0,24.24,-1,0
10.1.1.2,10.1.1.8,0,13,10.1.1.2,10.1.1.8,0,24.242,-1,0
10.1.1.1,10.1.1.30,0,13,10.1.1.1,10.1.1.30,0,25.8,-1,0
10.1.1.3,10.1.1.37,0,13,10.1.1.3,10.1.1.37,0,25.802,-1,0
