Metric,Value
macTxDrop,0
macRxDrop,3413113
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,843929
dropTxing,83585
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,325546
dropPreambleDetectFailure,2151251
dropReceptionAbortedByTx,12
dropLSigFailure,1611
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,6367
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,812
