Metric,Value
macTxDrop,0
macRxDrop,4687833
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,403503
dropTxing,97385
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,80945
dropPreambleDetectFailure,4051153
dropReceptionAbortedByTx,19
dropLSigFailure,232
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,54178
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,418
