Metric,Value
macTxDrop,0
macRxDrop,6606932
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1436182
dropTxing,84238
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,662622
dropPreambleDetectFailure,4400752
dropReceptionAbortedByTx,9
dropLSigFailure,565
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,21607
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,957
