OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.1.2,10.1.1.200,0,1,10.1.1.2,10.1.1.200,6,5.001,300.646,1
10.1.1.5,10.1.1.30,0,1,10.1.1.5,10.1.1.30,12,5.003,299.698,1
10.1.1.1,10.1.1.86,0,1,10.1.1.1,10.1.1.86,12,5.005,292.181,1
10.1.1.3,10.1.1.146,0,1,10.1.1.3,10.1.1.146,17,5.006,297.268,1
10.1.1.4,10.1.1.187,0,1,10.1.1.4,10.1.1.187,12,5.009,300.246,1
10.1.1.6,10.1.1.64,0,1,10.1.1.6,10.1.1.64,15,5.01,299.783,1
10.1.1.2,10.1.1.200,0,2,10.1.1.2,10.1.1.200,0,5.244,-1,0
10.1.1.5,10.1.1.30,0,2,10.1.1.5,10.1.1.30,0,5.244,-1,0
10.1.1.3,10.1.1.146,0,2,10.1.1.3,10.1.1.146,0,5.245,-1,0
10.1.1.6,10.1.1.64,0,2,10.1.1.6,10.1.1.64,0,5.245,-1,0
10.1.1.1,10.1.1.86,0,2,10.1.1.1,10.1.1.86,0,5.248,-1,0
10.1.1.4,10.1.1.187,0,2,10.1.1.4,10.1.1.187,0,5.25,-1,0
10.1.1.3,10.1.1.146,0,3,10.1.1.3,10.1.1.146,0,5.641,-1,0
10.1.1.1,10.1.1.86,0,3,10.1.1.1,10.1.1.86,0,5.645,-1,0
10.1.1.6,10.1.1.64,0,3,10.1.1.6,10.1.1.64,0,5.647,-1,0
10.1.1.2,10.1.1.200,0,3,10.1.1.2,10.1.1.200,0,5.648,-1,0
10.1.1.5,10.1.1.30,0,3,10.1.1.5,10.1.1.30,0,5.648,-1,0
10.1.1.4,10.1.1.187,0,3,10.1.1.4,10.1.1.187,0,5.65,-1,0
10.1.1.109,10.1.1.26,0,1,10.1.1.109,10.1.1.26,1,5.71304,5.76732,1
10.1.1.3,10.1.1.146,0,4,10.1.1.3,10.1.1.146,0,6.201,-1,0
10.1.1.6,10.1.1.64,0,4,10.1.1.6,10.1.1.64,0,6.204,-1,0
10.1.1.5,10.1.1.30,0,4,10.1.1.5,10.1.1.30,0,6.205,-1,0
10.1.1.2,10.1.1.200,0,4,10.1.1.2,10.1.1.200,0,6.209,-1,0
10.1.1.1,10.1.1.86,0,4,10.1.1.1,10.1.1.86,0,6.21,-1,0
10.1.1.6,10.1.1.64,0,5,10.1.1.6,10.1.1.64,0,6.404,-1,0
10.1.1.5,10.1.1.30,0,5,10.1.1.5,10.1.1.30,0,6.921,-1,0
10.1.1.1,10.1.1.86,0,5,10.1.1.1,10.1.1.86,0,6.923,-1,0
10.1.1.2,10.1.1.200,0,5,10.1.1.2,10.1.1.200,0,6.928,-1,0
10.1.1.3,10.1.1.146,0,5,10.1.1.3,10.1.1.146,0,6.93,-1,0
10.1.1.81,10.1.1.132,0,1,10.1.1.81,10.1.1.132,5,7.01581,47.8129,1
10.1.1.6,10.1.1.64,0,6,10.1.1.6,10.1.1.64,0,7.106,-1,0
10.1.1.4,10.1.1.187,0,4,10.1.1.4,10.1.1.187,0,7.108,-1,0
10.1.1.72,10.1.1.109,0,1,10.1.1.72,10.1.1.109,5,7.19679,76.6719,1
10.1.1.4,10.1.1.187,0,5,10.1.1.4,10.1.1.187,0,7.209,-1,0
10.1.1.2,10.1.1.200,0,6,10.1.1.2,10.1.1.200,0,7.303,-1,0
10.1.1.6,10.1.1.64,0,7,10.1.1.6,10.1.1.64,0,7.4,-1,0
10.1.1.4,10.1.1.187,0,6,10.1.1.4,10.1.1.187,0,7.407,-1,0
10.1.1.190,10.1.1.148,0,1,10.1.1.190,10.1.1.148,3,7.43287,100.34,1
10.1.1.138,10.1.1.6,0,1,10.1.1.138,10.1.1.6,0,7.49198,111.843,1
10.1.1.2,10.1.1.200,0,7,10.1.1.2,10.1.1.200,0,7.509,-1,0
10.1.1.117,10.1.1.138,0,1,10.1.1.117,10.1.1.138,0,7.55954,173.081,1
10.1.1.6,10.1.1.64,0,8,10.1.1.6,10.1.1.64,0,7.601,-1,0
10.1.1.2,10.1.1.200,0,8,10.1.1.2,10.1.1.200,0,7.707,-1,0
10.1.1.4,10.1.1.187,0,7,10.1.1.4,10.1.1.187,0,7.709,-1,0
10.1.1.109,10.1.1.187,0,2,10.1.1.109,10.1.1.187,3,7.80854,286.203,1
10.1.1.138,10.1.1.6,0,2,10.1.1.138,10.1.1.6,0,7.82545,-1,0
10.1.1.6,10.1.1.64,0,9,10.1.1.6,10.1.1.64,0,7.901,-1,0
10.1.1.4,10.1.1.187,0,8,10.1.1.4,10.1.1.187,0,7.908,-1,0
10.1.1.2,10.1.1.200,0,9,10.1.1.2,10.1.1.200,0,7.91,-1,0
10.1.1.139,10.1.1.119,0,1,10.1.1.139,10.1.1.119,2,7.92685,188.189,1
10.1.1.63,10.1.1.165,0,1,10.1.1.63,10.1.1.165,4,7.98186,226.774,1
10.1.1.6,10.1.1.64,0,10,10.1.1.6,10.1.1.64,0,8.004,-1,0
10.1.1.123,10.1.1.66,0,1,10.1.1.123,10.1.1.66,1,8.00949,19.4344,1
10.1.1.120,10.1.1.32,0,1,10.1.1.120,10.1.1.32,3,8.02179,134.771,1
10.1.1.166,10.1.1.53,0,1,10.1.1.166,10.1.1.53,0,8.04695,187.304,1
10.1.1.4,10.1.1.170,0,9,10.1.1.4,10.1.1.170,4,8.05295,256.589,1
10.1.1.81,10.1.1.183,0,2,10.1.1.81,10.1.1.183,1,8.07347,163.453,1
10.1.1.81,10.1.1.124,0,3,10.1.1.81,10.1.1.124,3,8.08125,271.484,1
10.1.1.2,10.1.1.200,0,10,10.1.1.2,10.1.1.200,0,8.11,-1,0
10.1.1.63,10.1.1.172,0,2,10.1.1.63,10.1.1.172,0,8.11056,8.1116,1
10.1.1.183,10.1.1.188,0,1,10.1.1.183,10.1.1.188,5,8.14632,234.39,1
10.1.1.123,10.1.1.116,0,2,10.1.1.123,10.1.1.116,1,8.15228,93.593,1
10.1.1.139,10.1.1.119,0,2,10.1.1.139,10.1.1.119,0,8.15276,-1,0
10.1.1.123,10.1.1.188,0,3,10.1.1.123,10.1.1.188,1,8.15574,9.00117,1
10.1.1.6,10.1.1.64,0,11,10.1.1.6,10.1.1.64,0,8.21,-1,0
10.1.1.10,10.1.1.200,0,1,10.1.1.10,10.1.1.200,4,8.21411,132.115,1
10.1.1.55,10.1.1.2,0,1,10.1.1.55,10.1.1.2,7,8.22178,293.471,1
10.1.1.183,10.1.1.132,0,2,10.1.1.183,10.1.1.132,3,8.28048,203.587,1
10.1.1.2,10.1.1.200,0,11,10.1.1.2,10.1.1.200,0,8.405,-1,0
10.1.1.172,10.1.1.10,1,1,10.1.1.172,10.1.1.10,0,8.42968,240.621,1
10.1.1.4,10.1.1.187,0,10,10.1.1.4,10.1.1.187,0,8.608,-1,0
10.1.1.2,10.1.1.200,0,12,10.1.1.2,10.1.1.200,0,8.702,-1,0
10.1.1.123,10.1.1.104,0,4,10.1.1.123,10.1.1.104,0,8.9931,84.2386,1
10.1.1.6,10.1.1.64,0,12,10.1.1.6,10.1.1.64,0,9.005,-1,0
10.1.1.120,10.1.1.153,0,2,10.1.1.120,10.1.1.153,7,9.00521,185.632,1
10.1.1.81,10.1.1.89,0,4,10.1.1.81,10.1.1.89,4,9.03177,53.5083,1
10.1.1.19,10.1.1.16,0,1,10.1.1.19,10.1.1.16,2,9.05183,148.49,1
10.1.1.156,10.1.1.77,0,1,10.1.1.156,10.1.1.77,3,9.0639,173.259,1
10.1.1.123,10.1.1.18,0,5,10.1.1.123,10.1.1.18,0,9.07747,9.09591,1
10.1.1.6,10.1.1.64,0,13,10.1.1.6,10.1.1.64,0,9.104,-1,0
10.1.1.155,10.1.1.174,0,1,10.1.1.155,10.1.1.174,1,9.10567,9.13127,1
10.1.1.2,10.1.1.200,0,13,10.1.1.2,10.1.1.200,0,9.203,-1,0
10.1.1.4,10.1.1.187,0,11,10.1.1.4,10.1.1.187,0,9.203,-1,0
10.1.1.121,10.1.1.25,0,1,10.1.1.121,10.1.1.25,5,9.25205,70.175,1
10.1.1.6,10.1.1.64,0,14,10.1.1.6,10.1.1.64,0,9.304,-1,0
10.1.1.199,10.1.1.185,0,1,10.1.1.199,10.1.1.185,3,9.31064,81.6289,1
10.1.1.55,10.1.1.16,0,2,10.1.1.55,10.1.1.16,4,9.35379,16.8712,1
10.1.1.6,10.1.1.64,0,15,10.1.1.6,10.1.1.64,0,9.407,-1,0
10.1.1.88,10.1.1.64,0,1,10.1.1.88,10.1.1.64,1,9.412,11.7565,1
10.1.1.39,10.1.1.143,0,1,10.1.1.39,10.1.1.143,4,9.41295,41.6405,1
10.1.1.21,10.1.1.8,0,1,10.1.1.21,10.1.1.8,5,9.42809,74.7536,1
10.1.1.4,10.1.1.187,0,12,10.1.1.4,10.1.1.187,0,9.51,-1,0
10.1.1.88,10.1.1.165,0,2,10.1.1.88,10.1.1.165,0,9.51338,9.5281,1
10.1.1.170,10.1.1.90,0,1,10.1.1.170,10.1.1.90,3,9.51498,230.32,1
10.1.1.166,10.1.1.119,0,2,10.1.1.166,10.1.1.119,5,9.52961,139.899,1
10.1.1.6,10.1.1.64,0,16,10.1.1.6,10.1.1.64,0,9.607,-1,0
10.1.1.121,10.1.1.42,0,2,10.1.1.121,10.1.1.42,1,9.66673,119.882,1
10.1.1.1,10.1.1.86,0,6,10.1.1.1,10.1.1.86,0,9.72,-1,0
10.1.1.5,10.1.1.30,0,6,10.1.1.5,10.1.1.30,0,9.723,-1,0
10.1.1.3,10.1.1.146,0,6,10.1.1.3,10.1.1.146,0,9.725,-1,0
10.1.1.166,10.1.1.119,0,3,10.1.1.166,10.1.1.119,0,9.76861,-1,0
10.1.1.4,10.1.1.138,0,13,10.1.1.4,10.1.1.138,3,9.78026,21.2077,1
10.1.1.169,10.1.1.64,0,1,10.1.1.169,10.1.1.64,7,9.79937,285.666,1
10.1.1.4,10.1.1.187,0,14,10.1.1.4,10.1.1.187,0,9.8,-1,0
10.1.1.138,10.1.1.6,0,3,10.1.1.138,10.1.1.6,0,9.84553,-1,0
10.1.1.106,10.1.1.30,0,1,10.1.1.106,10.1.1.30,0,9.86586,9.92353,1
10.1.1.89,10.1.1.81,0,1,10.1.1.89,10.1.1.81,3,9.93053,53.8921,1
10.1.1.139,10.1.1.138,0,3,10.1.1.139,10.1.1.138,2,9.93804,10.9612,1
10.1.1.2,10.1.1.200,0,14,10.1.1.2,10.1.1.200,0,10.001,-1,0
10.1.1.4,10.1.1.187,0,15,10.1.1.4,10.1.1.187,0,10.002,-1,0
10.1.1.58,10.1.1.159,0,1,10.1.1.58,10.1.1.159,0,10.0675,10.0884,1
