Metric,Value
macTxDrop,0
macRxDrop,16695839
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2015123
dropTxing,296398
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,971698
dropPreambleDetectFailure,13367649
dropReceptionAbortedByTx,29
dropLSigFailure,554
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,40989
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,3399
