Metric,Value
macTxDrop,0
macRxDrop,499064
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,11668
dropTxing,4665
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,2325
dropPreambleDetectFailure,479609
dropReceptionAbortedByTx,1
dropLSigFailure,18
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,773
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,5
