Metric,Value
macTxDrop,0
macRxDrop,3367844
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,616941
dropTxing,76541
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,251425
dropPreambleDetectFailure,2399939
dropReceptionAbortedByTx,28
dropLSigFailure,2379
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,19837
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,754
