Metric,Value
macTxDrop,0
macRxDrop,7609149
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1696359
dropTxing,269485
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,390288
dropPreambleDetectFailure,5232932
dropReceptionAbortedByTx,1
dropLSigFailure,4485
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,14646
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,953
