Metric,Value
macTxDrop,0
macRxDrop,8312612
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2672598
dropTxing,149568
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,1043101
dropPreambleDetectFailure,4412831
dropReceptionAbortedByTx,39
dropLSigFailure,4922
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,27781
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1772
