Metric,Value
macTxDrop,0
macRxDrop,4294574
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,489483
dropTxing,111521
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,78025
dropPreambleDetectFailure,3567093
dropReceptionAbortedByTx,11
dropLSigFailure,243
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,47821
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,377
