Metric,Value
macTxDrop,0
macRxDrop,2138436
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,656421
dropTxing,53250
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,245714
dropPreambleDetectFailure,1177057
dropReceptionAbortedByTx,0
dropLSigFailure,1028
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,4668
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,298
