Metric,Value
macTxDrop,0
macRxDrop,1309817
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,80733
dropTxing,32534
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,24669
dropPreambleDetectFailure,1157585
dropReceptionAbortedByTx,26
dropLSigFailure,220
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,13682
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,368
