Metric,Value
macTxDrop,0
macRxDrop,4462932
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,464553
dropTxing,106973
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,157201
dropPreambleDetectFailure,3658567
dropReceptionAbortedByTx,39
dropLSigFailure,670
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,73940
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,989
