Metric,Value
macTxDrop,0
macRxDrop,797954
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,60967
dropTxing,22874
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,12794
dropPreambleDetectFailure,692529
dropReceptionAbortedByTx,9
dropLSigFailure,121
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,8514
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,146
