Metric,Value
macTxDrop,0
macRxDrop,9149010
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1047337
dropTxing,194547
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,266653
dropPreambleDetectFailure,7575181
dropReceptionAbortedByTx,28
dropLSigFailure,1838
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,62181
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1245
