Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,21851,6941,0,0
1,2950,0,35542,8804,0,0
2,2950,0,41074,7986,0,0
3,2950,0,43113,8074,0,0
4,2950,0,37803,7978,0,0
5,2950,0,11865,6603,0,0
6,0,0,24267,5353,0,0
7,0,0,19247,4611,0,0
8,0,0,15876,4344,0,0
9,0,0,37117,5138,0,0
10,0,0,21107,4162,0,0
11,0,0,23977,5628,0,0
12,0,0,48326,4998,0,0
13,0,0,30562,5058,0,0
14,0,0,12142,3799,0,0
15,0,0,14394,4349,0,0
16,0,0,7203,3212,0,0
17,0,0,23099,5312,0,0
18,0,0,24255,4664,0,3
19,0,0,38791,5096,0,0
20,0,562,34923,5534,0,0
21,0,0,13871,4227,0,0
22,0,0,38317,5339,0,3
23,0,0,37350,5172,0,4
24,0,0,41530,5664,0,0
25,0,0,36001,5377,0,0
26,0,0,45163,5008,0,0
27,0,0,25603,5429,0,0
28,0,0,11948,3925,0,0
29,0,0,14381,4175,0,1
30,0,0,57056,4960,0,0
31,0,0,56146,4956,0,0
32,0,0,11215,3890,0,2
33,0,0,59467,4848,0,0
34,0,0,37715,5241,0,0
35,0,0,21189,4588,0,0
36,0,0,26551,4733,0,0
37,0,0,23550,5959,0,2
38,0,0,52478,4967,0,0
39,0,0,58109,4943,0,0
40,0,0,44909,5046,0,0
41,0,0,44087,5583,0,0
42,0,0,24666,5191,0,0
43,0,0,25291,5461,0,0
44,0,0,62838,4970,0,0
45,0,0,23932,4658,0,0
46,0,0,40903,5733,0,0
47,0,0,15099,4048,0,0
48,0,0,35052,5214,0,0
49,0,0,33121,6074,0,2
50,0,0,18010,5102,0,0
51,0,0,12886,4569,0,0
52,0,0,40911,5166,0,0
53,0,0,20737,4597,0,0
54,0,0,28983,4796,0,0
55,0,0,38225,5100,0,0
56,0,414,8323,3396,0,0
57,0,0,44304,5626,0,0
58,0,0,23290,4242,0,0
59,0,0,16498,4320,0,0
60,0,0,55900,5050,0,0
61,0,0,19295,4114,0,0
62,0,0,19919,4320,0,0
63,0,0,31247,4901,0,0
64,0,0,52966,5396,0,0
65,0,0,13602,3808,0,0
66,0,0,50943,4988,0,0
67,0,0,20566,4426,0,0
68,0,0,18961,4555,0,0
69,0,0,16375,4031,0,0
70,0,0,39550,5254,0,0
71,0,0,16180,3942,0,0
72,0,0,60218,4937,0,0
73,0,0,17119,4212,0,0
74,0,0,24942,6230,0,0
75,0,0,16067,4739,0,1
76,0,0,53795,4988,0,0
77,0,0,12757,3893,0,34
78,0,0,20653,5198,0,1
79,0,0,23560,5773,0,19
80,0,0,26594,4706,0,0
81,0,0,23649,4716,0,0
82,0,0,21932,4394,0,0
83,0,0,39536,5069,0,0
84,0,0,55172,5724,0,0
85,0,0,22282,4511,0,0
86,0,471,17034,4900,0,0
87,0,0,13949,4846,0,0
88,0,0,21732,5225,0,0
89,0,0,34311,5150,0,0
90,0,57,62600,4898,0,0
91,0,0,24221,4512,0,0
92,0,0,59243,4908,0,0
93,0,0,43085,5132,0,0
94,0,0,13842,4393,0,0
95,0,0,8466,3841,0,0
96,0,166,33259,5014,0,0
97,0,608,14902,4563,0,1
98,0,0,22870,4323,0,0
99,0,0,51902,5060,0,0
