Metric,Value
macTxDrop,0
macRxDrop,19590736
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2826333
dropTxing,301330
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,1400483
dropPreambleDetectFailure,15017470
dropReceptionAbortedByTx,9
dropLSigFailure,480
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,41165
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,3466
