Metric,Value
macTxDrop,0
macRxDrop,10033537
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1237913
dropTxing,146631
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,134586
dropPreambleDetectFailure,8463478
dropReceptionAbortedByTx,20
dropLSigFailure,503
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,49990
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,416
