Metric,Value
macTxDrop,0
macRxDrop,5986669
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1817894
dropTxing,202704
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,572623
dropPreambleDetectFailure,3380670
dropReceptionAbortedByTx,0
dropLSigFailure,2787
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,8963
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1028
