Metric,Value
macTxDrop,0
macRxDrop,3893085
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1220663
dropTxing,116129
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,415944
dropPreambleDetectFailure,2128642
dropReceptionAbortedByTx,1
dropLSigFailure,2866
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,8230
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,610
