Metric,Value
macTxDrop,0
macRxDrop,689854
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,39851
dropTxing,15292
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,13296
dropPreambleDetectFailure,613789
dropReceptionAbortedByTx,6
dropLSigFailure,165
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,7384
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,71
