Metric,Value
macTxDrop,0
macRxDrop,7326079
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1000896
dropTxing,141796
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,127997
dropPreambleDetectFailure,6026902
dropReceptionAbortedByTx,10
dropLSigFailure,1074
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,27132
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,272
