Metric,Value
macTxDrop,0
macRxDrop,1027410
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,75088
dropTxing,24782
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,19109
dropPreambleDetectFailure,896029
dropReceptionAbortedByTx,20
dropLSigFailure,253
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,11803
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,326
