Metric,Value
macTxDrop,0
macRxDrop,16570756
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,3258796
dropTxing,255438
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,346717
dropPreambleDetectFailure,12652885
dropReceptionAbortedByTx,7
dropLSigFailure,2478
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,54022
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,413
