Metric,Value
macTxDrop,0
macRxDrop,3848809
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,600353
dropTxing,70919
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,458869
dropPreambleDetectFailure,2704169
dropReceptionAbortedByTx,0
dropLSigFailure,60
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,13857
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,582
