Metric,Value
macTxDrop,0
macRxDrop,26029717
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2668682
dropTxing,344585
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,425936
dropPreambleDetectFailure,22487989
dropReceptionAbortedByTx,3
dropLSigFailure,185
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,101578
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,759
