Metric,Value
macTxDrop,0
macRxDrop,706711
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,33321
dropTxing,16015
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,26078
dropPreambleDetectFailure,620588
dropReceptionAbortedByTx,2
dropLSigFailure,150
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,10505
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,52
