Metric,Value
macTxDrop,0
macRxDrop,8121657
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1211864
dropTxing,165994
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,430855
dropPreambleDetectFailure,6273329
dropReceptionAbortedByTx,34
dropLSigFailure,966
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,36702
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1913
