Metric,Value
macTxDrop,0
macRxDrop,12398289
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2618205
dropTxing,361584
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,645449
dropPreambleDetectFailure,8727691
dropReceptionAbortedByTx,14
dropLSigFailure,3169
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,40451
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1726
