Metric,Value
macTxDrop,0
macRxDrop,4246058
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,447710
dropTxing,94760
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,77596
dropPreambleDetectFailure,3603877
dropReceptionAbortedByTx,10
dropLSigFailure,440
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,21498
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,167
