Metric,Value
macTxDrop,0
macRxDrop,19343869
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2788800
dropTxing,228635
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,1556603
dropPreambleDetectFailure,14730334
dropReceptionAbortedByTx,7
dropLSigFailure,396
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,36942
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,2152
