Metric,Value
macTxDrop,0
macRxDrop,10751814
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1770741
dropTxing,245731
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,452068
dropPreambleDetectFailure,8231659
dropReceptionAbortedByTx,7
dropLSigFailure,853
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,49582
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1173
