Metric,Value
macTxDrop,0
macRxDrop,2027486
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,734859
dropTxing,54121
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,277471
dropPreambleDetectFailure,950779
dropReceptionAbortedByTx,1
dropLSigFailure,725
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,9185
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,345
