Metric,Value
macTxDrop,0
macRxDrop,1145847
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,69296
dropTxing,23227
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,21938
dropPreambleDetectFailure,1023688
dropReceptionAbortedByTx,0
dropLSigFailure,114
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,7514
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,70
