Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,803,3216,0,0
1,2950,0,1904,3924,0,0
2,2950,0,1378,3164,0,0
3,2950,0,1477,3271,0,0
4,2950,0,566,3153,0,0
5,2950,0,1200,3180,0,0
6,0,0,1352,254,0,0
7,0,0,1668,744,0,0
8,0,0,1216,293,0,0
9,0,0,1588,751,0,0
10,0,0,68,162,0,0
11,0,0,367,221,0,0
12,0,0,481,204,0,0
13,0,0,1273,253,0,0
14,0,0,909,449,0,0
15,0,0,507,227,0,0
16,0,0,456,226,0,0
17,0,0,2063,849,0,0
18,0,0,928,497,0,0
19,0,0,1341,309,0,0
20,0,0,367,201,0,0
21,0,0,950,238,0,0
22,0,0,1215,244,0,0
23,0,892,1462,241,0,0
24,0,0,1519,804,0,0
25,0,0,1324,371,0,0
26,0,0,1320,238,0,0
27,0,0,1376,324,0,0
28,0,0,1163,608,0,0
29,0,0,1138,755,0,0
30,0,0,1303,246,0,0
31,0,0,1080,436,0,0
32,0,0,509,179,0,0
33,0,0,501,172,0,0
34,0,0,673,246,0,0
35,0,0,606,203,0,0
36,0,0,1377,269,0,0
37,0,1637,2511,239,0,0
38,0,0,1186,424,0,0
39,0,0,1333,249,0,0
40,0,0,1280,255,0,0
41,0,0,892,255,0,0
42,0,0,1840,705,0,0
43,0,0,833,219,0,0
44,0,0,462,177,0,0
45,0,0,168,171,0,0
46,0,0,666,169,0,0
47,0,0,379,192,0,0
48,0,0,940,301,0,0
49,0,3,1198,235,0,0
