Metric,Value
macTxDrop,0
macRxDrop,758570
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,34306
dropTxing,10184
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,6495
dropPreambleDetectFailure,703394
dropReceptionAbortedByTx,0
dropLSigFailure,76
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,4086
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,29
