Metric,Value
macTxDrop,0
macRxDrop,11112068
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2573058
dropTxing,230036
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,761988
dropPreambleDetectFailure,7520452
dropReceptionAbortedByTx,2
dropLSigFailure,1410
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,23864
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1258
