Metric,Value
macTxDrop,0
macRxDrop,6818376
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,367850
dropTxing,80452
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,56027
dropPreambleDetectFailure,6289206
dropReceptionAbortedByTx,6
dropLSigFailure,70
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,24550
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,215
