Metric,Value
macTxDrop,0
macRxDrop,12306505
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1015463
dropTxing,165244
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,391943
dropPreambleDetectFailure,10709963
dropReceptionAbortedByTx,25
dropLSigFailure,476
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,21612
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1779
