Metric,Value
macTxDrop,0
macRxDrop,3175499
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,180671
dropTxing,49116
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,75724
dropPreambleDetectFailure,2829426
dropReceptionAbortedByTx,24
dropLSigFailure,342
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,39767
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,429
