Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,4964,4531,192,3
1,2950,0,6794,4706,598,3
2,2950,0,5682,4339,0,1
3,2950,0,5077,4733,0,4
4,2950,0,2905,4740,428,0
5,2950,0,5359,4556,1006,12
6,0,0,5359,1414,0,0
7,0,0,6372,2443,0,50
8,0,0,4266,642,0,0
9,0,0,3399,1536,0,2
10,0,0,5438,1594,0,29
11,0,0,4010,1200,0,5
12,0,0,5666,1910,0,33
13,0,0,5576,1786,0,35
14,0,0,3114,1224,0,9
15,0,0,3770,651,0,0
16,0,2278,4330,1078,0,3
17,0,0,4808,2685,0,0
18,0,0,6272,1572,0,1
19,0,0,4406,891,0,1
20,0,0,4103,1461,0,9
21,0,0,5796,982,0,0
22,0,0,4767,1049,0,0
23,0,0,4368,1851,0,4
24,0,0,2015,894,0,0
25,0,0,3526,2916,0,0
26,0,0,4735,716,0,0
27,0,0,3635,1200,0,1
28,0,0,5666,1848,0,4
29,0,0,4171,1313,0,45
30,0,0,5691,1947,0,14
31,0,0,4471,646,0,0
32,0,0,5181,1979,0,5
33,0,1085,3320,1160,0,0
34,0,0,3774,1594,0,10
35,0,0,4920,2579,0,20
36,0,0,5796,1135,0,0
37,0,0,5057,2398,0,1
38,0,0,1983,957,0,0
39,0,0,4693,1540,0,1
40,0,0,5555,1350,0,0
41,0,0,6197,1415,0,0
42,0,0,5279,2973,0,12
43,0,0,5533,1647,0,0
44,0,1743,6547,754,0,0
45,0,0,5016,2232,0,6
46,0,0,5369,1371,0,0
47,0,0,2846,976,0,1
48,0,0,4385,714,0,0
49,0,0,4188,1022,0,0
50,0,0,5074,1099,0,0
51,0,0,4279,590,0,0
52,0,0,3419,1262,0,6
53,0,0,4408,674,0,2
54,0,0,2574,592,0,0
55,0,0,3255,1592,0,27
56,0,0,6249,2043,0,27
57,0,0,5876,2885,0,24
58,0,0,4435,673,0,0
59,0,0,2748,915,0,1
60,0,0,4702,1319,0,19
61,0,0,5421,1319,0,0
62,0,0,3032,644,0,3
63,0,0,3604,1246,0,0
64,0,0,4297,1737,0,0
65,0,0,3637,1105,0,1
66,0,0,5445,1434,0,28
67,0,0,4574,1451,0,1
68,0,0,6178,1465,0,0
69,0,0,5415,1549,0,36
70,0,0,2186,1139,0,0
71,0,0,1691,581,0,0
72,0,0,5925,1456,0,0
73,0,2787,6334,1237,0,0
74,0,0,3592,1089,0,0
75,0,0,3563,1265,0,9
76,0,0,2241,1173,0,2
77,0,0,3404,1332,0,1
78,0,0,5923,2000,0,14
79,0,0,3279,797,0,1
80,0,0,3064,1020,0,5
81,0,0,3880,1353,0,1
82,0,0,5371,1741,0,0
83,0,0,3459,1425,0,4
84,0,0,5867,2168,0,5
85,0,0,4733,1816,0,11
86,0,0,4998,1295,0,0
87,0,0,3040,873,0,1
88,0,0,4775,1400,0,18
89,0,0,3578,1574,0,1
90,0,0,3142,795,0,1
91,0,0,2346,558,0,0
92,0,0,4383,812,0,2
93,0,607,3727,1125,0,0
94,0,0,4966,2161,0,3
95,0,0,4137,631,0,0
96,0,0,5762,1862,0,2
97,0,0,4975,2210,0,33
98,0,0,2073,1189,0,0
99,0,1211,4631,2102,0,1
