Metric,Value
macTxDrop,0
macRxDrop,9901260
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2670023
dropTxing,316932
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,751298
dropPreambleDetectFailure,6130388
dropReceptionAbortedByTx,11
dropLSigFailure,3257
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,27773
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1578
